Folder,Concurrency,Mean_Time,Std_Dev,Times
0_1MB_files,1,11.432,0.966,10.06 13.13 11.64 9.87 11.72 10.90 11.50 11.57 11.66 12.27
100MB_files,1,2.396,0.029,2.43 2.41 2.33 2.39 2.39 2.40 2.39 2.43 2.38 2.41
10MB_files,1,2.504,0.027,2.51 2.46 2.51 2.55 2.53 2.52 2.49 2.49 2.47 2.51
1MB_files,1,2.905,0.123,2.88 2.65 3.08 3.00 2.87 2.89 2.98 3.02 2.88 2.80
0_1MB_files,2,4.936,0.714,4.52 4.98 6.28 5.08 4.22 4.61 4.60 4.35 4.60 6.12
100MB_files,2,1.814,0.043,1.80 1.76 1.84 1.90 1.83 1.84 1.80 1.82 1.75 1.80
10MB_files,2,1.850,0.060,1.73 1.84 1.90 1.79 1.92 1.82 1.83 1.90 1.87 1.90
1MB_files,2,2.056,0.048,1.96 2.05 2.03 2.07 2.13 2.09 2.03 2.05 2.04 2.11
0_1MB_files,10,3.181,0.034,3.12 3.15 3.23 3.21 3.17 3.19 3.19 3.18 3.15 3.22
100MB_files,10,1.297,0.036,1.30 1.33 1.38 1.27 1.30 1.27 1.29 1.30 1.26 1.27
10MB_files,10,1.245,0.059,1.21 1.21 1.18 1.20 1.18 1.25 1.30 1.35 1.26 1.31
1MB_files,10,1.184,0.032,1.18 1.14 1.15 1.22 1.23 1.21 1.18 1.17 1.21 1.15
0_1MB_files,100,2.885,0.034,2.82 2.90 2.87 2.85 2.92 2.94 2.89 2.89 2.88 2.89
100MB_files,100,1.256,0.019,1.28 1.27 1.26 1.27 1.28 1.23 1.24 1.25 1.25 1.23
10MB_files,100,1.306,0.020,1.30 1.27 1.29 1.30 1.31 1.31 1.30 1.31 1.34 1.33
1MB_files,100,1.203,0.022,1.15 1.19 1.20 1.22 1.21 1.21 1.23 1.21 1.21 1.20
0_1MB_files,1000,2.870,0.026,2.85 2.91 2.90 2.84 2.84 2.89 2.86 2.87 2.89 2.85
100MB_files,1000,1.250,0.018,1.26 1.25 1.27 1.26 1.23 1.26 1.26 1.25 1.25 1.21
10MB_files,1000,1.310,0.021,1.30 1.29 1.35 1.28 1.30 1.33 1.31 1.32 1.32 1.30
1MB_files,1000,1.233,0.040,1.20 1.19 1.28 1.20 1.23 1.31 1.22 1.26 1.24 1.20
